id,name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,fav
2KhCQE7DqzFmd1x5xkettm,Hymn for the Weekend,0,258267,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92E-06,0.325,0.412,90.027,0
44yi91mbNLl16pttwhiEc9,Hymn for the Weekend,0,258267,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92E-06,0.325,0.412,90.027,0
4JXiGT4kxrjspmU3Nhth5C,Hymn for the Weekend,0,258267,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92E-06,0.325,0.412,90.027,0
5Fsh4fWnvUFqrYr2eqSvQW,Hymn for the Weekend,0,212647,0.564,0.849,0,-3.516,0,0.0517,0.00868,4.68E-06,0.12,0.427,102.028,0
5KTgsti78DZ1bleTzf1TFL,Hymn for the Weekend,0,212647,0.564,0.849,0,-3.516,0,0.0517,0.00868,4.68E-06,0.12,0.427,102.028,0
5NRGAFWksafHXMEDi1afXu,Hymn for the Weekend,0,258267,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92E-06,0.325,0.412,90.027,0
7Gb9JCtYbmZmwei8VTHhME,The Scientist,0,309600,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46E-05,0.11,0.213,146.277,0
3JC4hnMYH0cTeeFdiLfeE5,Savage,0,155497,0.843,0.743,11,-5.608,1,0.335,0.0251,0,0.096,0.698,168.98,0
4uCFW5cq0y8h6XwwwS8tLS,Cry Baby,0,137984,0.957,0.437,11,-7.882,1,0.359,0.00402,0,0.219,0.616,130.058,0
5Av63mhaXkKULT0VzQgVzK,Body,0,171067,0.914,0.732,8,-6.1,0,0.241,0.0166,0,0.107,0.469,94.066,0
6a96fWBLJeC8tzsgqGNx55,Savage,0,155497,0.843,0.743,11,-5.608,1,0.335,0.0251,0,0.096,0.698,168.98,0
3FhtgGYjuB9EPUAKK3grSm,Project Dreams,0,167898,0.78,0.827,8,-2.235,1,0.237,0.412,0,0.104,0.787,160.106,0
3ljYBUToFd0CfMBCEqaA77,Spicy,0,143375,0.782,0.51,4,-5.724,0,0.0419,0.143,0,0.115,0.118,99.993,0
7uHMx3E8in607GoKRv1Kcx,Spicy,0,143375,0.782,0.51,4,-5.724,0,0.0419,0.143,0,0.115,0.118,99.993,0
3t91l9tTtz3DpksUVKrX07,Black and Yellow,0,217667,0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,0
43H6Jrn6CIa7xnfKL79vE6,This Time Around,0,162820,0.775,0.656,6,-4.724,0,0.0732,0.0999,1.03E-06,0.142,0.755,157.01,0
4JjrnbH8W9wW43FPqUVRTR,Black and Yellow,0,217667,0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,0
6JYcTU8JASVbZpVIfDHa8k,See You Again,0,229526,0.69,0.48,10,-7.503,1,0.0816,0.369,0,0.0649,0.286,80.025,0
2o8TmeIUxExPU6IZxxj65C,High Fashion,0,220487,0.83,0.499,11,-8.442,0,0.114,0.271,0,0.3,0.511,97.953,0
2qbkfN7IGbsufbR9QSBrKj,Big Stepper,0,175170,0.753,0.597,8,-8.469,1,0.292,0.0477,0,0.197,0.616,76.997,0
3WHucpzxRpn6v0m5B6coUs,High Fashion,0,220487,0.83,0.499,11,-8.442,0,0.114,0.271,0,0.3,0.511,97.953,0
4DJvPtKnssaifrWfceZAU0,The Box,0,196653,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.789,0.642,116.972,0
52YyDUdKVoNoXpYmdXTHqZ,The Box,0,196653,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.789,0.642,116.972,0
6tbdUtj5EDrJnIVfG2loQR,The Box,0,196653,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.789,0.642,116.972,0
6LSHQnjVPtZooth8bp7xmB,10 Years - Eurovision 2021 - Iceland / Karaoke Version,0,165167,0.778,0.458,2,-7.607,0,0.0431,0.00242,0.563,0.0637,0.293,122.998,0
0oiVh42zhvjYvdW6FNPQxL,Want to Want Me,0,206280,0.772,0.643,0,-6.24,0,0.063,0.0102,0,0.0705,0.669,114.031,0
0tF9qFnZFwC1E7p8T1dpNQ,Want to Want Me,0,193024,0.603,0.913,10,-3.924,0,0.0478,0.000534,0.0256,0.352,0.615,122.938,0
2A6tCNeh6twbP1hIFguCXn,Want to Want Me,0,206280,0.772,0.643,0,-6.24,0,0.063,0.0102,0,0.0705,0.669,114.031,0
4yXdq05zp6kYzZyVJgs0Dq,Want to Want Me,0,206280,0.772,0.643,0,-6.24,0,0.063,0.0102,0,0.0705,0.669,114.031,0
5NwvrlhwcstEqi5dc2xqNf,Take You Dancing,0,190306,0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,0
6ADHoggp1uTtrwimF7aHtQ,The Sky's the Limit,0,205867,0.743,0.877,0,-3.6,1,0.036,0.0186,0,0.32,0.712,125.017,0
71fT9WPy4QBa7yeM5mkaNf,Whatcha Say,0,221253,0.615,0.711,11,-5.507,1,0.078,0.0444,0,0.145,0.711,144.034,0
7HuorsxhHwQlZLdc6PmQuC,Don't Wanna Go Home,0,206080,0.671,0.808,2,-4.86,0,0.0651,0.0199,0,0.134,0.637,121.953,0
7xA6SBhYuLBPIS2LUED7O7,Take You Dancing,0,190306,0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,0
0hIZaDvx7EHULKphw95pgA,Hold On,0,170813,0.658,0.634,1,-5.797,0,0.0413,0.0106,0,0.132,0.29,139.98,0
1ijw33pq5gJgAwxYlNVfyJ,Yummy,0,208520,0.677,0.506,9,-6.652,0,0.0964,0.345,0,0.118,0.497,145.843,0
2BtoPVNkGcBHbc3ZQTthnI,Intentions - Acoustic,0,160612,0.715,0.411,9,-6.657,1,0.0337,0.594,0,0.0903,0.799,73.994,0
2XNKmNuFSHf3KUGY7mFwxF,Holy,0,212093,0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919,0
2ekyjXWwWvM6i6BSONuStF,Love Yourself,0,232627,0.759,0.401,4,-8.999,1,0.259,0.86,0,0.299,0.576,100.126,0
4S4m00T92CPo5eM8lAKE0v,Anyone,0,190779,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13E-06,0.113,0.584,115.884,0
4VF67gXdLeav82OJ7Mzo7K,Turn To You (Mother's Day Dedication) - Single Version,0,219973,0.542,0.715,4,-6.565,0,0.0313,0.244,0,0.0861,0.284,107.973,0
54TI5Pf1OG2sEEPebJVr88,Catching Feelings,0,234680,0.325,0.541,3,-6.665,1,0.0414,0.353,0,0.35,0.363,85.169,0
6DDu5nmSPffTMGpdFSmL7Y,Love Yourself,0,232627,0.759,0.401,4,-8.999,1,0.259,0.86,0,0.299,0.576,100.126,0
6OYT42B1A95K2xsERxzRKK,Love Yourself,0,232627,0.759,0.401,4,-8.999,1,0.259,0.86,0,0.299,0.576,100.126,0
04pPqAbKKoAUCBdsM1KO6w,All Girls Are The Same,0,165820,0.673,0.529,0,-7.226,1,0.306,0.0769,0.000338,0.0856,0.203,161.991,0
2FtNANPWnAOKJVkoHLmiXu,Lucid Dreams,0,239836,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,0
3YXVO9D8bVAhbbjHJwnWWr,Hear Me Calling,0,189977,0.699,0.687,7,-3.997,0,0.106,0.308,3.63E-05,0.121,0.499,88.933,0
4WXhZdsgBd7jgRlF7iHPeP,Robbery,0,240527,0.708,0.69,2,-5.181,1,0.0442,0.348,0,0.222,0.543,79.993,0
02Y5oRA5BuObhf9hTrQxAT,Morado,0,200667,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06E-05,0.0927,0.781,97.002,0
0AJpNW26w1njC6QjbHvhKF,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
0DzTFqNNL2RukngVlkjbKA,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
0LHULq5HHIij1oc2Rqc4zG,Morado,0,200667,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06E-05,0.0927,0.781,97.002,0
0QAbnRpxzx1KA0WJX1QHTh,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
0YUqNmid2THpnasG4XE9fI,Amarillo,0,158147,0.876,0.85,1,-5.75,0,0.163,0.0118,0.0067,0.111,0.962,122.666,0
0Z78LAlkfnjA99ZgvB01Eh,Yo Te Lo Dije,0,220853,0.823,0.614,6,-5.809,1,0.069,0.0856,0,0.258,0.954,87.977,0
0blmuNLgsWwlwmwuciLqYH,Negro,0,182507,0.791,0.907,0,-2.223,1,0.0884,0.0132,0.211,0.245,0.828,164.107,0
0d5OtST0sAhs4M8miyRVfB,Sin Compromiso,0,189027,0.774,0.914,7,-4.739,1,0.159,0.193,0,0.427,0.816,98.031,0
0eWCXPL25j53ekubhItaXs,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
0g7OkMkuW89szZCmr6dM22,Morado,0,200667,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06E-05,0.0927,0.781,97.002,0
0jVs5TcPffFkdOkDMgYPuj,Amarillo,0,158147,0.876,0.85,1,-5.75,0,0.163,0.0118,0.0067,0.111,0.962,122.666,0
0kft5Hi0qhgG200KCrNdFF,LA CANCIÓN,0,242573,0.756,0.646,7,-5.795,1,0.319,0.152,1.81E-05,0.108,0.429,176.088,0
0l9OE172DiBApcLbAetBkX,Tranquila,0,199947,0.72,0.669,4,-6.244,0,0.207,0.0334,0,0.147,0.668,175.934,0
0lx2T4gmOEdOkxY7frHbXT,Tranquila,0,199947,0.72,0.669,4,-6.244,0,0.207,0.0334,0,0.147,0.668,175.934,0
0pA8Ejaw3dyVSxmieip146,Bobo,0,209600,0.799,0.896,10,-2.67,1,0.0937,0.107,5.11E-05,0.13,0.771,89.031,0
0qlNWOtt4ojnDUm3ChiCX4,UN PESO,0,277107,0.627,0.675,5,-7.125,0,0.212,0.125,0,0.0784,0.961,79.31,0
0qrhPFGGM9Dq59hn8s2gU0,Rojo,0,151147,0.652,0.595,11,-4.04,1,0.117,0.15,0.000106,0.0836,0.421,172.277,0
0sRxElej5MCWeIZEmSYwp5,Sin Compromiso,0,189027,0.774,0.914,7,-4.739,1,0.159,0.193,0,0.427,0.816,98.031,0
0twkpjytnH7F4nHliUrvR1,Tranquila,0,199947,0.72,0.669,4,-6.244,0,0.207,0.0334,0,0.147,0.668,175.934,0
0wAuuh3LQWN26NUjLoVJZi,Peligrosa,0,202347,0.769,0.759,6,-4.392,0,0.051,0.0545,0.000628,0.1,0.68,105.993,0
10iyAV7DIrGXuhT4l41v1I,Bonita,0,265933,0.774,0.873,5,-1.587,0,0.0418,0.0153,0.00506,0.293,0.845,96.033,0
11DzVRsZEL0tUlU0rvoIWE,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
12ogsQqMvD7dJOn2MDeZoQ,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
15Lxkk1r8JaX3ue0PpaPTu,LA CANCIÓN,0,242573,0.756,0.646,7,-5.795,1,0.319,0.152,1.81E-05,0.108,0.429,176.088,0
1CdOZdpKFXBCs6CqUjR3QN,Morado,0,200667,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06E-05,0.0927,0.781,97.002,0
1EhQAE3gcsY8tptV9guCxT,Bonita - Remix,0,322907,0.796,0.91,10,-0.39,0,0.0412,0.0107,4.43E-05,0.132,0.554,95.998,0
1GHG7eoxQi2vBedlDIFtS2,Sigo Extrañándote,0,201280,0.896,0.859,11,-4.232,0,0.21,0.154,0.000109,0.212,0.938,93.016,0
1HnmAoomeqIYBWAY6mL8tI,Negro,0,182507,0.791,0.907,0,-2.223,1,0.0884,0.0132,0.211,0.245,0.828,164.107,0
1NCLXNEEpUtSV8eS7me71G,Tu Verdad,0,205120,0.777,0.642,11,-6.657,0,0.0566,0.176,1.53E-05,0.178,0.589,115.93,0
1OOUyI2vvPGHfiLYvlASnm,LA CANCIÓN,0,242573,0.756,0.646,7,-5.795,1,0.319,0.152,1.81E-05,0.108,0.429,176.088,0
1OZgkgzRuKafaGXlrtVFVh,Morado,0,200667,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06E-05,0.0927,0.781,97.002,0
1T01S75AMk2nXp2ExJA8tl,Negro,0,182507,0.791,0.907,0,-2.223,1,0.0884,0.0132,0.211,0.245,0.828,164.107,0
1WEMrMUauyF2FgoOfyAIDb,Machika,0,189653,0.642,0.837,4,-3.356,1,0.367,0.0489,0,0.0898,0.523,211.968,0
1YTswXgjPiwAIQIMlCWsZV,Negro,0,182507,0.791,0.907,0,-2.223,1,0.0884,0.0132,0.211,0.245,0.828,164.107,0
1Yh3RHZrLqQ6jG8VKLd5EF,Si Tu Novio Te Deja Sola,0,243560,0.717,0.46,3,-9.498,0,0.0711,0.521,0,0.0981,0.52,121.929,0
1gBEy8FmdwZpewfqXOt0xX,Ginza,0,171093,0.749,0.815,5,-6.381,0,0.083,0.228,0.00117,0.0838,0.866,102.218,0
1h7AtkzFTH2POTPTDSze8Q,Bonita,0,265933,0.774,0.873,5,-1.587,0,0.0418,0.0153,0.00506,0.293,0.845,96.033,0
1i6l9saxEG0FUHy0VYyvAN,Sigo Extrañándote,0,201280,0.896,0.859,11,-4.232,0,0.21,0.154,0.000109,0.212,0.938,93.016,0
1jwFi6mcASpAZnIFPdBsTZ,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
1mtC1eDUoFSOlbGhqOjecQ,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
1nibwzUWj0dNiK1BLZ5pDn,Ay Vamos,0,226413,0.718,0.711,8,-5.746,0,0.11,0.157,5.52E-05,0.1,0.92,173.916,0
1odguCgFKIFk9VHrcPo2uN,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
1pd3uVB54RVYdgwFeRIYKh,Ahora,0,254907,0.81,0.784,3,-3.223,0,0.0622,0.0874,0.000166,0.083,0.817,88.001,0
1wexwBpszUxTLR4qRB8drw,Ay Vamos,0,226413,0.718,0.711,8,-5.746,0,0.11,0.157,5.52E-05,0.1,0.92,173.916,0
1xX12EB5jMQ9JoqlFeiB1Y,Yo Te Lo Dije,0,220853,0.823,0.614,6,-5.809,1,0.069,0.0856,0,0.258,0.954,87.977,0
20df2NNvndantMRbMcCuFO,Amarillo,0,158147,0.876,0.85,1,-5.75,0,0.163,0.0118,0.0067,0.111,0.962,122.666,0
24DMzkRASCMSJrT5swk27L,Verde,0,142973,0.831,0.741,8,-4.281,0,0.0508,0.0356,0.564,0.0903,0.837,94.98,0
25GXWqZZO8A9Y6xcPOV1iv,Negro,0,182507,0.791,0.907,0,-2.223,1,0.0884,0.0132,0.211,0.245,0.828,164.107,0
28ku5ETuA9coJXJXxBFQzU,Ahora,0,254907,0.81,0.784,3,-3.223,0,0.0622,0.0874,0.000166,0.083,0.817,88.001,0
2RDOrWmLjSgV47pIE9LFMk,Peligrosa,0,202347,0.769,0.759,6,-4.392,0,0.051,0.0545,0.000628,0.1,0.68,105.993,0
2VQgANDFlbr94Gf3SNqiAA,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
2WzRN0cq6d2XdIF5U7wliC,Negro,0,182507,0.791,0.907,0,-2.223,1,0.0884,0.0132,0.211,0.245,0.828,164.107,0
2cGZkQ8yiEzsWOrD3jeMmM,Ginza,0,171093,0.749,0.815,5,-6.381,0,0.083,0.228,0.00117,0.0838,0.866,102.218,0
2dvBs8WVTlp09Vk1u5l2ts,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
2etcBijeyoBRNdhcC6Oush,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
2hOw8hRKJaQ9yd0UQfybP6,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
2hVzqY6OODBxi6FeAX6CyT,Negro,0,182507,0.791,0.907,0,-2.223,1,0.0884,0.0132,0.211,0.245,0.828,164.107,0
2jc8qTO8rYQ5lEMOEqMgdh,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
2romdyQNQM3AYoNWLc12wD,Ahora,0,254907,0.81,0.784,3,-3.223,0,0.0622,0.0874,0.000166,0.083,0.817,88.001,0
2soSv1HmrjWVrYwsAD6cjX,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
2xxPbeVcy1GBUtb4yjA888,Morado,0,200667,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06E-05,0.0927,0.781,97.002,0
36nd7nVoSPVCBc2eFAgekI,Morado,0,200667,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06E-05,0.0927,0.781,97.002,0
37EXqpOw2tlCQ0kXIgmzqx,Rojo,0,151147,0.652,0.595,11,-4.04,1,0.117,0.15,0.000106,0.0836,0.421,172.277,0
3BBwyxlrYzCIEd2Uqid4aP,QUE PRETENDES,0,222347,0.639,0.791,10,-4.443,0,0.254,0.0275,0,0.362,0.933,92.603,0
3DcUCkvcHhVIoIa8muBiZ2,Brillo,0,159573,0.524,0.384,9,-10.049,0,0.36,0.89,0,0.0964,0.768,145.947,0
3EK0TzqvRPMDsknOCJBIBT,Negro,0,182507,0.791,0.907,0,-2.223,1,0.0884,0.0132,0.211,0.245,0.828,164.107,0
3FltoVNjg0lfLGJjgnJGH2,UN PESO,0,277107,0.627,0.675,5,-7.125,0,0.212,0.125,0,0.0784,0.961,79.31,0
3MO1b3Y8VTHa46n566XNvq,QUE PRETENDES,0,222347,0.639,0.791,10,-4.443,0,0.254,0.0275,0,0.362,0.933,92.603,0
3Mg6C7MN60K3BAaJLHsC8t,Morado,0,200667,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06E-05,0.0927,0.781,97.002,0
3OxSWg8g8gdlREbYwiKu1q,Ginza,0,171093,0.749,0.815,5,-6.381,0,0.083,0.228,0.00117,0.0838,0.866,102.218,0
3dr7lQyaN9aJreEgXv4k1S,Si Tu Novio Te Deja Sola,0,243560,0.717,0.46,3,-9.498,0,0.0711,0.521,0,0.0981,0.52,121.929,0
3dtqq50aF6EfWgUAykygM4,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
3mEKZv59hOHNUH4RcIjOOA,Bonita,0,265933,0.774,0.873,5,-1.587,0,0.0418,0.0153,0.00506,0.293,0.845,96.033,0
3xLwLaQDLRsoQKNGextdam,Machika,0,189653,0.642,0.837,4,-3.356,1,0.367,0.0489,0,0.0898,0.523,211.968,0
44zVOpvAgaYGBi3oXqttqD,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
45yPpvws1Vw7B2YIG6qZET,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
4HMf9UvyibH0cGDQsChCvl,LA CANCIÓN,0,242573,0.756,0.646,7,-5.795,1,0.319,0.152,1.81E-05,0.108,0.429,176.088,0
4M1o9BJxOHYgOgPU3tNePe,No Es Justo,0,251267,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,0
4OZr8VR1yfGYlftjiy1iR0,Ginza,0,171093,0.749,0.815,5,-6.381,0,0.083,0.228,0.00117,0.0838,0.866,102.218,0
4Q9zJjlkOVGei1swhqTMF4,Morado,0,200667,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06E-05,0.0927,0.781,97.002,0
4UxRHIEWAUK9PqHB4lIsrP,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
4W9imKiVuRtAYDqbRWf9nq,Ahora,0,254907,0.81,0.784,3,-3.223,0,0.0622,0.0874,0.000166,0.083,0.817,88.001,0
4WKfUsavsubmvHFwxZR13N,Ay Vamos,0,226413,0.718,0.711,8,-5.746,0,0.11,0.157,5.52E-05,0.1,0.92,173.916,0
4YU9Vf161s6bJRgHTDF6UT,UN DIA (ONE DAY),0,232253,0.579,0.687,6,-8.23,0,0.0618,0.00491,0,0.181,0.392,168.157,0
4dRGyr2ANG6q6JGBoz6vro,Azul,0,206373,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,0
4f3owIev4d8XwOwoQBdiO4,Sigo Extrañándote,0,201280,0.896,0.859,11,-4.232,0,0.21,0.154,0.000109,0.212,0.938,93.016,0
4jyiaLmHgDDjnbZbGX3amS,Machika,0,189653,0.642,0.837,4,-3.356,1,0.367,0.0489,0,0.0898,0.523,211.968,0
